2025-04-20 13:13:00,557 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:00,560 - __main__ - INFO - Caption received for image 1 on page 5 in 0.51s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:00,617 - __main__ - WARNING - Could not process image 0 on page 6. Skipping captioning. Error: cannot identify image file <_io.BytesIO object at 0x78385d3d0b30>
2025-04-20 13:13:00,647 - __main__ - INFO - Requesting caption from LLM for image 1 on page 6...
2025-04-20 13:13:01,172 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:01,174 - __main__ - INFO - Caption received for image 1 on page 6 in 0.53s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:01,333 - __main__ - INFO - Requesting caption from LLM for image 0 on page 7...
2025-04-20 13:13:01,886 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:01,889 - __main__ - INFO - Caption received for image 0 on page 7 in 0.56s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. 

There...'
2025-04-20 13:13:02,021 - __main__ - INFO - Requesting caption from LLM for image 0 on page 8...
2025-04-20 13:13:02,604 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:02,607 - __main__ - INFO - Caption received for image 0 on page 8 in 0.59s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. There a...'
2025-04-20 13:13:02,755 - __main__ - INFO - Requesting caption from LLM for image 0 on page 9...
2025-04-20 13:13:03,320 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:03,323 - __main__ - INFO - Caption received for image 0 on page 9 in 0.57s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:03,469 - __main__ - INFO - Requesting caption from LLM for image 0 on page 10...
2025-04-20 13:13:04,042 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:04,045 - __main__ - INFO - Caption received for image 0 on page 10 in 0.58s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:04,192 - __main__ - INFO - Requesting caption from LLM for image 0 on page 11...
2025-04-20 13:13:04,855 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:04,858 - __main__ - INFO - Caption received for image 0 on page 11 in 0.67s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:05,010 - __main__ - INFO - Requesting caption from LLM for image 0 on page 12...
2025-04-20 13:13:05,573 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:05,576 - __main__ - INFO - Caption received for image 0 on page 12 in 0.57s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:05,732 - __main__ - INFO - Requesting caption from LLM for image 0 on page 13...
2025-04-20 13:13:06,186 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:06,187 - __main__ - INFO - Caption received for image 0 on page 13 in 0.45s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:06,269 - __main__ - INFO - Requesting caption from LLM for image 0 on page 14...
2025-04-20 13:13:06,961 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:06,964 - __main__ - INFO - Caption received for image 0 on page 14 in 0.69s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:07,027 - __main__ - WARNING - Could not process image 0 on page 15. Skipping captioning. Error: cannot identify image file <_io.BytesIO object at 0x783855fb18a0>
2025-04-20 13:13:07,056 - __main__ - INFO - Requesting caption from LLM for image 1 on page 15...
2025-04-20 13:13:07,517 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:07,518 - __main__ - INFO - Caption received for image 1 on page 15 in 0.46s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:07,610 - __main__ - WARNING - Could not process image 0 on page 16. Skipping captioning. Error: cannot identify image file <_io.BytesIO object at 0x783855edae30>
2025-04-20 13:13:07,642 - __main__ - INFO - Requesting caption from LLM for image 1 on page 16...
2025-04-20 13:13:08,132 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:08,136 - __main__ - INFO - Caption received for image 1 on page 16 in 0.49s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:08,332 - __main__ - INFO - Requesting caption from LLM for image 0 on page 17...
2025-04-20 13:13:08,851 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:08,853 - __main__ - INFO - Caption received for image 0 on page 17 in 0.52s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. 

There...'
